line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Caracas"" title=""Caracas"">Caracas</a></th>",Caracas,/wiki/Caracas,10.48056,-66.90361,Venezuela
"<th scope=""row""><a href=""/wiki/Sana%27a"" title=""Sana'a"">Sana'a</a></th>",Sana'a,/wiki/Sana%27a,15.34833,44.20639,Yemen
"<th scope=""row""><a href=""/wiki/Sapporo"" title=""Sapporo"">Sapporo</a></th>",Sapporo,/wiki/Sapporo,43.067,141.35,NA
"<th scope=""row""><a href=""/wiki/Islamabad"" title=""Islamabad"">Islamabad</a></th>",Islamabad,/wiki/Islamabad,33.717,73.067,Pakistan
"<th scope=""row""><a href=""/wiki/Tainan"" title=""Tainan"">Tainan</a></th>",Tainan,/wiki/Tainan,NA,NA,Republic of China (Taiwan)
"<th scope=""row""><a href=""/wiki/Bucharest"" title=""Bucharest"">Bucharest</a></th>",Bucharest,/wiki/Bucharest,44.4325,26.10389,Romania
"<th scope=""row""><a href=""/wiki/Curitiba"" title=""Curitiba"">Curitiba</a></th>",Curitiba,/wiki/Curitiba,-25.417,-49.25,Brazil
"<th scope=""row""><a href=""/wiki/Shiraz"" title=""Shiraz"">Shiraz</a></th>",Shiraz,/wiki/Shiraz,29.617,52.533,NA
"<th scope=""row""><a href=""/wiki/Vienna"" title=""Vienna"">Vienna</a></th>",Vienna,/wiki/Vienna,48.2,16.367,NA
"<th scope=""row""><a href=""/wiki/Brazzaville"" title=""Brazzaville"">Brazzaville</a></th>",Brazzaville,/wiki/Brazzaville,-4.26778,15.29194,Republic of the Congo
"<th scope=""row""><a href=""/wiki/Bhopal"" title=""Bhopal"">Bhopal</a></th>",Bhopal,/wiki/Bhopal,23.25,77.417,India
"<th scope=""row""><a href=""/wiki/Hamburg"" title=""Hamburg"">Hamburg</a></th>",Hamburg,/wiki/Hamburg,53.56528,10.00139,Germany
"<th scope=""row""><a href=""/wiki/Manila"" title=""Manila"">Manila</a></th>",Manila,/wiki/Manila,14.58,121,NA
"<th scope=""row""><a href=""/wiki/Kuala_Lumpur"" title=""Kuala Lumpur"">Kuala Lumpur</a></th>",Kuala Lumpur,/wiki/Kuala_Lumpur,NA,NA,Malaysia
"<th scope=""row""><a href=""/wiki/Maputo"" title=""Maputo"">Maputo</a></th>",Maputo,/wiki/Maputo,-25.967,32.583,NA
"<th scope=""row""><a href=""/wiki/Budapest"" title=""Budapest"">Budapest</a></th>",Budapest,/wiki/Budapest,47.4925,19.05139,NA
"<th scope=""row""><a href=""/wiki/Warsaw"" title=""Warsaw"">Warsaw</a></th>",Warsaw,/wiki/Warsaw,52.233,21.017,NA
"<th scope=""row""><a href=""/wiki/Lusaka"" title=""Lusaka"">Lusaka</a></th>",Lusaka,/wiki/Lusaka,-15.417,28.283,Zambia
"<th scope=""row""><a href=""/wiki/Kathmandu"" title=""Kathmandu"">Kathmandu</a></th>",Kathmandu,/wiki/Kathmandu,27.7,85.333,Nepal
